path,sha256,bytes
docs/roadmap-v2/Roadmap-V2-00-Executive-Summary.md,93f8ca72f2b3fcb50c2b217d367c29a0a23d43c0a9bc94827e575762a57274a9,8094
docs/roadmap-v2/Roadmap-V2-01-Verified-Baseline.md,645f36d166a48288f8d3b87081ef26f923e6a0978d7855774ffeccb83448dfdb,4226
docs/roadmap-v2/Roadmap-V2-02-System-Capability-Catalog.md,95394b9f8ab59cfd89b97eaee2d96fb7750eddde35268c302927aec5f08d2fa6,27572
docs/roadmap-v2/Roadmap-V2-03-Module-Assessments.md,73d44dca4cae876e155f429fe1a6e49dae1c91def0a79f3ff1c8e72fd3d6dec8,17063
docs/roadmap-v2/Roadmap-V2-04-Screen-Inventory.md,e3bb405b65f323c2622877acaa22d1d9dba8d161dc2b3ce2f195acd9bd53fe42,11944
docs/roadmap-v2/Roadmap-V2-05-Current-State-Architecture.md,a1f187d98af19d6fa3e913c89c90b0c2601d4a5c5c34e016571a0e2b40b1687b,6121
docs/roadmap-v2/Roadmap-V2-06-Target-Architecture.md,590c8f2558a8e74255476a90096905c6de8122cfe1e60985862321eecb79f165,6913
docs/roadmap-v2/Roadmap-V2-07-Implementation-Roadmap.md,79e569bb75ff47b08b942674a274e5ef208fa4cca5555d4fd228d65b44e02024,22422
docs/roadmap-v2/Roadmap-V2-08-Dependency-Map.md,7fd0d59386608fd77332f9a333cdf3ea1d6eae64bdddd5931efcb7cc33027d4a,4635
docs/roadmap-v2/Roadmap-V2-09-Parallel-Execution-Model.md,f1fadfa70f81de1e1b794aabcc43aede4356050e6039e9b38f239a418d7d3148,19398
docs/roadmap-v2/Roadmap-V2-10-Decision-Register.md,0cc2c4c1245b8674cd2e035d10f55e8dfc1b2b1d6ebcc9c032dfce4268ebf1f7,35856
docs/roadmap-v2/Roadmap-V2-11-Risk-Register.md,5d92eec6716775f80aed0c8e4ee0c023f60fa7be9539cc06db58500a445de959,9069
docs/roadmap-v2/Roadmap-V2-12-Updated-Poster-Specification.md,3198c18ef6a783d73bd0b9220ed457a268b8cd5b8bac29b058da0f16ac49cf6b,8388
docs/roadmap-v2/Roadmap-V2-13-Architecture-Diagrams.md,1008c0f8dabf459cb468481b349dff5ac9de1bfae38f4613dfe9559a92e7dd26,7972
docs/roadmap-v2/Roadmap-V2-14-Product-Integration-Plan.md,be8cf4059f2d0cef23f0c04153d1ba2737922ff1a3dbeb32b3e29b2ba7339867,6531
docs/roadmap-v2/Roadmap-V2-15-Owner-Review-Pack.md,919b8c2e47a1279e288609f9236bb6f2eda8838d141f99e14b3d3c4acfa0a207,9198
docs/roadmap-v2/Roadmap-V2-16-Product-Vision.md,159615c882c7c64c44d6cff6ed9680a0abf53e37e1115b4013d8e3a5abdc8d30,7067
docs/roadmap-v2/Roadmap-V2-17-SQL-Deployment-Governance.md,e2d5e0e73f3afed3474ed315a9900bac3f84db1fc02c28a0f35e4a300025bc72,12715
docs/roadmap-v2/Roadmap-V2-Final-Delivery-Report.md,31550c98b8cf0f185beda3c94b5809593172f567b5b9f2f7415ff3b37963efec,8928
docs/roadmap-v2/_generator/generate_roadmap_v2.py,27aa140225eeffce09b53a9690729d446328a62d91e9f3c64f31f805f09cfe17,34828
docs/roadmap-v2/_generator/roadmap_v2_data.py,44ad9c0539382f1c99c1abfcdfec2dac91750abaf6c2748bb28f813b9bc41b5d,41068
docs/roadmap-v2/_generator/roadmap_v2_data2.py,a29a7683ee2fed5d9bc047be1767b98a3eefca373545636c2488b52fa17f6388,74395
docs/roadmap-v2/roadmap-v2-adr-register.csv,0450536f7e79a2d64ec201959beec966c756911c3e10632029041369707d9d44,3509
docs/roadmap-v2/roadmap-v2-capability-catalog.csv,b0457d815e42f94f71e1ad49e2cee4562bc6e5852e0fe153ed602de45aa2184a,33616
docs/roadmap-v2/roadmap-v2-decisions.csv,e5d427401d50d12576146d0429cc13681f1beaf254323fc378c8eecb0bf5efc1,21903
docs/roadmap-v2/roadmap-v2-dependencies.csv,b31167e340caf57477766a792ab782120f31da49fbd3b5b392d6af64303e9bf6,2312
docs/roadmap-v2/roadmap-v2-disk-state-manifest.csv,ca1aec24004f5009f94f4d79e520a0337b712e83d28a369723066eb00cd5ee4d,3193
docs/roadmap-v2/roadmap-v2-phase-plan.csv,fe4b9f5187544876d06ff34a1c2af711ec54c9e54962226e8460b6d4fb1bd4b2,11023
docs/roadmap-v2/roadmap-v2-risks.csv,3564e23f84e76888ba88c0eb7a2af22db2311f4e1bb7459180a13b7c3616cde3,7483
docs/roadmap-v2/roadmap-v2-screen-inventory.csv,3f557646b12b5adbad1392402683e3e0dadb880c373637375a5e88589a489719,11858
docs/roadmap-v2/roadmap-v2-shared-files.csv,030a32ce10b6d3989f3b836bad9d71c71312af83ae60224d88ed221aa3d2c672,2571
docs/roadmap-v2/roadmap-v2-sql-slice-register.csv,d8e5650b3e5c41413006a8308363de0f88566dc7aaf545f87e59bf527d66f60a,3452
docs/roadmap-v2/roadmap-v2-tab-ownership.csv,674d9016d0578c6b04d12ab7834de0a9ae93d7d2c66ff89242c478ef9109bf6a,2630
